0,1
0.13,81	85
0.13,84	85
0.13,87	85
0.13,90	85
0.13,93	85
0.14,96	85
0.13,99	85
0.13,102	85
0.13,105	85
0.12,108	85
0.12,111	85
0.12,114	85
0.12,117	85
0.11,120	85
0.11,123	85
0.13,126	85
0.13,129	85
0.13,132	85
0.13,135	85
0.14,138	85
0.14,141	85
0.15,144	85
0.13,147	85
0.13,150	85
0.14,153	85
0.13,156	85
0.13,159	85
0.14,162	85
0.13,165	85
0.14,168	85
0.14,171	85
0.14,174	85
0.12,177	85
0.14,180	85
0.15,180	87
0.13,177	87
0.14,174	87
0.14,171	87
0.15,168	87
0.13,165	87
0.14,162	87
0.13,159	87
0.14,156	87
0.13,153	87
0.13,150	87
0.14,147	87
0.14,144	87
0.14,141	87
0.14,138	87
0.14,135	87
0.14,132	87
0.14,129	87
0.14,126	87
0.13,123	87
0.14,120	87
0.12,117	87
0.14,114	87
0.13,111	87
0.14,108	87
0.14,105	87
0.13,102	87
0.13,99	87
0.13,96	87
0.13,93	87
0.12,90	87
0.13,87	87
0.13,84	87
0.14,81	87
0.14,78	87
0.13,75	87
0.13,72	87
0.14,69	87
0.13,66	87
0.14,63	87
0.13,60	87
0.13,57	87
0.13,54	87
0.13,51	87
0.13,48	87
0.13,45	87
0.14,42	87
0.14,39	87
0.13,36	87
0.13,33	87
0.13,30	87
0.13,27	87
0.13,24	87
0.13,21	87
0.13,18	87
0.14,15	87
0.13,12	87
0.13,9	87
0.13,6	87
0.12,3	87
0.13,0	87
