0,1
False	15	107.0625	1373.25,b'28\r\n'
False	15	108.40625	1389.0,b'30\r\n'
False	15	109.703125	1405.75,b'30\r\n'
False	15	111.046875	1422.0,b'30\r\n'
False	15	112.359375	1437.25,b'30\r\n'
False	15	113.703125	1457.25,b'30\r\n'
False	15	115.015625	1477.75,b'30\r\n'
False	15	116.296875	1499.25,b'30\r\n'
False	15	117.625	1524.5,b'30\r\n'
False	15	118.96875	1552.75,b'30\r\n'
False	15	120.265625	1579.5,b'30\r\n'
False	15	121.59375	1607.25,b'30\r\n'
False	15	122.890625	1637.5,b'30\r\n'
False	15	124.21875	1668.25,b'30\r\n'
False	15	125.515625	1705.75,b'30\r\n'
False	15	126.8125	1746.75,b'30\r\n'
False	15	128.171875	1783.0,b'32\r\n'
False	15	129.453125	1821.0,b'32\r\n'
False	15	130.796875	1868.25,b'32\r\n'
False	15	132.09375	1921.5,b'32\r\n'
False	9	133.40625	1964.5,b'32\r\n'
False	0	141.984375	0.0,b'32\r\n'
False	0	143.328125	0.0,b'32\r\n'
False	0	144.65625	0.0,b'32\r\n'
False	0	145.984375	0.0,b'32\r\n'
False	9	140.125	0.0,b'32\r\n'
False	15	141.453125	1824.75,b'32\r\n'
False	15	142.78125	1802.75,b'32\r\n'
False	15	144.109375	1805.0,b'32\r\n'
False	15	145.453125	1808.0,b'32\r\n'
False	15	146.765625	1791.25,b'32\r\n'
False	15	148.140625	1779.5,b'34\r\n'
False	15	149.484375	1764.0,b'34\r\n'
False	0	157.96875	0.0,b'34\r\n'
False	12	152.03125	0.0,b'34\r\n'
False	0	160.640625	0.0,b'34\r\n'
False	0	162.0625	0.0,b'34\r\n'
False	0	163.390625	0.0,b'34\r\n'
False	0	164.71875	0.0,b'34\r\n'
False	0	166.046875	0.0,b'34\r\n'
False	0	167.390625	0.0,b'34\r\n'
False	0	168.734375	0.0,b'34\r\n'
False	15	162.890625	0.0,b'34\r\n'
False	15	164.21875	1763.0,b'34\r\n'
False	15	165.609375	0.0,b'34\r\n'
False	15	166.9375	1622.75,b'34\r\n'
False	15	168.265625	1624.5,b'36\r\n'
False	15	169.65625	1627.0,b'36\r\n'
False	15	170.984375	1630.25,b'36\r\n'
False	15	172.34375	1634.5,b'36\r\n'
False	15	173.671875	1635.75,b'36\r\n'
False	15	174.96875	1640.5,b'36\r\n'
False	15	176.265625	1647.75,b'36\r\n'
False	9	177.640625	1652.75,b'36\r\n'
False	0	186.140625	0.0,b'36\r\n'
False	0	187.484375	0.0,b'36\r\n'
False	0	188.8125	0.0,b'36\r\n'
False	0	190.15625	0.0,b'36\r\n'
False	0	191.484375	0.0,b'36\r\n'
False	0	192.828125	0.0,b'36\r\n'
False	8	187.0	0.0,b'36\r\n'
False	14	188.328125	1736.75,b'38\r\n'
False	15	189.703125	1749.75,b'38\r\n'
False	15	191.015625	1763.75,b'38\r\n'
False	15	192.3125	1782.5,b'38\r\n'
False	15	193.671875	1800.0,b'38\r\n'
False	12	194.984375	1819.75,b'38\r\n'
False	0	203.53125	0.0,b'38\r\n'
False	0	204.875	0.0,b'38\r\n'
False	0	206.21875	0.0,b'38\r\n'
False	11	200.453125	0.0,b'38\r\n'
False	9	201.78125	0.0,b'38\r\n'
False	0	210.3125	0.0,b'38\r\n'
False	0	211.640625	0.0,b'38\r\n'
False	0	212.984375	0.0,b'38\r\n'
False	0	214.34375	0.0,b'38\r\n'
False	0	215.671875	0.0,b'40\r\n'
False	0	217.015625	0.0,b'40\r\n'
False	0	218.359375	0.0,b'40\r\n'
False	0	219.71875	0.0,b'40\r\n'
False	0	221.046875	0.0,b'40\r\n'
False	15	215.71875	0.0,b'40\r\n'
False	15	217.21875	0.0,b'40\r\n'
False	15	218.484375	1009.75,b'40\r\n'
False	15	219.1875	0.0,b'40\r\n'
False	15	220.5625	1839.75,b'40\r\n'
False	15	221.90625	1803.0,b'40\r\n'
False	15	223.28125	1768.25,b'40\r\n'
False	15	224.609375	1737.0,b'40\r\n'
False	0	233.140625	0.0,b'40\r\n'
False	15	228.03125	0.0,b'40\r\n'
False	15	229.484375	892.75,b'42\r\n'
False	15	230.875	877.25,b'42\r\n'
False	15	232.15625	864.75,b'42\r\n'
False	15	233.578125	855.0,b'42\r\n'
False	15	234.90625	847.75,b'42\r\n'
False	15	236.234375	847.5,b'42\r\n'
False	15	237.640625	843.5,b'42\r\n'
False	15	238.875	0.0,b'42\r\n'
False	15	240.15625	904.0,b'42\r\n'
False	15	241.5	915.0,b'42\r\n'
False	15	242.8125	923.0,b'42\r\n'
False	15	244.171875	936.75,b'42\r\n'
False	15	245.375	955.75,b'42\r\n'
False	0	253.234375	0.0,b'42\r\n'
False	15	254.59375	0.0,b'42\r\n'
False	0	255.921875	0.0,b'44\r\n'
False	15	250.359375	0.0,b'44\r\n'
False	15	251.671875	0.0,b'44\r\n'
False	15	257.734375	0.0,b'44\r\n'
False	15	259.21875	254.5,b'44\r\n'
False	0	262.65625	0.0,b'44\r\n'
False	0	264.0	0.0,b'44\r\n'
False	0	265.34375	0.0,b'44\r\n'
False	0	266.6875	0.0,b'44\r\n'
False	0	268.015625	0.0,b'44\r\n'
False	0	269.359375	0.0,b'44\r\n'
False	15	268.671875	258.5,b'44\r\n'
False	15	271.0625	261.0,b'44\r\n'
False	15	272.125	260.25,b'44\r\n'
False	15	273.578125	260.0,b'44\r\n'
False	15	274.625	260.75,b'46\r\n'
False	15	275.375	262.25,b'46\r\n'
False	15	276.4375	263.25,b'46\r\n'
False	15	278.328125	264.5,b'46\r\n'
False	15	278.8125	266.75,b'46\r\n'
False	0	282.75	0.0,b'46\r\n'
False	0	284.09375	0.0,b'46\r\n'
False	0	285.4375	0.0,b'46\r\n'
False	0	286.78125	0.0,b'46\r\n'
False	0	288.109375	0.0,b'46\r\n'
False	0	289.453125	0.0,b'46\r\n'
False	0	290.796875	0.0,b'46\r\n'
False	0	292.140625	0.0,b'46\r\n'
False	0	293.484375	0.0,b'46\r\n'
False	0	294.8125	0.0,b'46\r\n'
False	0	296.15625	0.0,b'48\r\n'
False	0	297.5	0.0,b'48\r\n'
False	0	298.84375	0.0,b'48\r\n'
False	15	300.1875	0.0,b'48\r\n'
False	15	294.40625	0.0,b'48\r\n'
False	15	295.71875	1620.0,b'48\r\n'
False	15	297.0625	1640.75,b'48\r\n'
False	0	305.546875	0.0,b'48\r\n'
False	15	299.6875	0.0,b'48\r\n'
False	15	301.0	1726.25,b'48\r\n'
False	15	302.34375	1755.25,b'48\r\n'
False	15	303.703125	1787.5,b'48\r\n'
False	15	305.0	1823.75,b'48\r\n'
False	0	313.546875	0.0,b'48\r\n'
False	11	307.65625	0.0,b'48\r\n'
False	15	308.96875	1958.5,b'50\r\n'
False	15	310.28125	2001.0,b'50\r\n'
False	15	311.578125	2043.0,b'50\r\n'
False	0	320.234375	0.0,b'50\r\n'
False	0	321.5625	0.0,b'50\r\n'
False	15	315.53125	0.0,b'50\r\n'
False	15	316.890625	2309.0,b'50\r\n'
False	12	318.171875	2375.5,b'50\r\n'
False	0	326.921875	0.0,b'50\r\n'
False	0	328.265625	0.0,b'50\r\n'
False	15	322.125	0.0,b'50\r\n'
False	15	323.5	2733.25,b'50\r\n'
False	15	324.84375	0.0,b'50\r\n'
False	15	326.203125	2646.25,b'50\r\n'
False	15	327.5625	2639.5,b'50\r\n'
False	15	328.859375	2614.75,b'52\r\n'
False	15	330.1875	0.0,b'52\r\n'
False	15	331.53125	2670.25,b'52\r\n'
False	15	332.875	2651.0,b'52\r\n'
False	15	334.21875	2634.25,b'52\r\n'
False	15	335.546875	2610.25,b'52\r\n'
False	15	336.90625	2589.25,b'52\r\n'
False	15	338.265625	2579.0,b'52\r\n'
False	15	339.59375	2575.75,b'52\r\n'
False	15	340.921875	2571.25,b'52\r\n'
False	15	342.28125	2565.25,b'52\r\n'
False	15	343.609375	2560.25,b'52\r\n'
False	15	344.921875	2555.75,b'52\r\n'
False	15	346.296875	2554.25,b'52\r\n'
False	15	347.5625	2553.0,b'52\r\n'
False	15	348.90625	2553.5,b'54\r\n'
False	15	350.25	2556.0,b'54\r\n'
True	15	351.578125	2560.75,b'54\r\n'
False	0	0.34375	0.0,b'54\r\n'
False	15	354.203125	0.0,b'54\r\n'
False	15	355.53125	2837.25,b'54\r\n'
False	15	356.859375	2834.75,b'54\r\n'
False	15	358.203125	2847.25,b'54\r\n'
False	15	359.59375	0.0,b'54\r\n'
False	15	0.921875	2639.0,b'54\r\n'
False	15	2.265625	2666.25,b'54\r\n'
False	15	3.5625	2687.5,b'54\r\n'
False	15	4.921875	2657.25,b'54\r\n'
False	15	6.234375	0.0,b'54\r\n'
False	15	7.578125	2758.25,b'54\r\n'
False	15	8.90625	2798.0,b'56\r\n'
False	15	10.21875	2849.5,b'56\r\n'
False	15	11.53125	0.0,b'56\r\n'
False	15	12.828125	2807.5,b'56\r\n'
False	15	14.15625	2847.5,b'56\r\n'
False	15	15.5	2885.75,b'56\r\n'
False	15	16.828125	2921.75,b'56\r\n'
False	15	18.140625	2952.0,b'56\r\n'
False	15	19.5	0.0,b'56\r\n'
False	15	20.859375	0.0,b'56\r\n'
False	15	22.21875	0.0,b'56\r\n'
False	15	23.578125	0.0,b'56\r\n'
False	15	24.921875	0.0,b'56\r\n'
False	15	26.28125	0.0,b'56\r\n'
False	15	27.609375	0.0,b'56\r\n'
False	15	28.96875	0.0,b'58\r\n'
False	15	30.359375	2117.25,b'58\r\n'
False	15	31.71875	0.0,b'58\r\n'
False	15	33.078125	0.0,b'58\r\n'
False	15	34.421875	1931.5,b'58\r\n'
False	15	35.8125	1882.0,b'58\r\n'
False	15	37.203125	1835.0,b'58\r\n'
False	15	38.5625	1795.0,b'58\r\n'
False	15	39.90625	1754.75,b'58\r\n'
False	15	41.265625	1711.25,b'58\r\n'
False	15	42.578125	1674.25,b'58\r\n'
False	15	43.96875	1643.5,b'58\r\n'
False	15	45.28125	1611.25,b'58\r\n'
False	15	46.65625	1581.5,b'58\r\n'
False	15	48.03125	1553.75,b'58\r\n'
False	15	49.34375	1527.25,b'60\r\n'
False	15	50.6875	1504.75,b'60\r\n'
False	15	52.3125	0.0,b'60\r\n'
False	15	53.6875	1125.5,b'60\r\n'
False	15	55.0	1116.75,b'60\r\n'
False	15	56.40625	1107.75,b'60\r\n'
False	15	64.421875	0.0,b'60\r\n'
False	15	65.765625	0.0,b'60\r\n'
False	15	60.203125	0.0,b'60\r\n'
False	15	61.5	1359.0,b'60\r\n'
False	15	62.890625	1347.75,b'60\r\n'
